DATAFLOW,LAST UPDATE,freq,unit,agriprod,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2011,302,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2012,306,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2013,310,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2014,314,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2015,320,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2016,324,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2017,328,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2018,331,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2019,334,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2020,353,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2021,355,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT,2022,358,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2011,266,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2012,267,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2013,266,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2014,267,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2015,270,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2016,275,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2017,276,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2018,280,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2019,286,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2020,293,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2021,296,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT1,2022,301,
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT11,2011,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT11,2012,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT11,2013,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT11,2014,,c
ESTAT:APRI_LRNT(1.0),16/02/24 23:00:00,A,EUR_HA,ARA,AT11,2015,233,
