"Country name","ISO","Per diem rate"
"Austria","AUT","225"
"Belgium","BEL","232"
"Bulgaria","BGR","227"
"Croatia","HRV","180"
"Czechia","CZE","230"
"Cyprus","CYP","238"
"Denmark","DNK","270"
"Estonia","EST","181"
"Finland","FIN","244"
"France","FRA","245"
"Germany","DEU","208"
"Greece","GRC","222"
"Hungary","HUN","222"
"Ireland","IRL","254"
"Italy","ITA","230"
"Latvia","LVA","211"
"Lithuania","LTU","183"
"Luxembourg","LUX","237"
"Malta","MLT","205"
"Netherlands","NLD","263"
"Poland","POL","217"
"Portugal","PRT","204"
"Romania","ROU","222"
"Slovakia","SVK","205"
"Slovenia","SVN","180"
"Spain","ESP","212"
"Sweden","SWE","257"
"Afghanistan","AFG","215"
"Albania","ALB","180"
"Algeria","DZA","332"
"American Samoa","ASM","225"
"Angola","AGO","378"
"Anguilla","AIA","372"
"Antigua and Barbuda","ATG","329"
"Argentina","ARG","243"
"Armenia","ARM","151"
"Aruba","ABW","351"
"Australia","AUS","329"
"Azerbaijan","AZE","293"
"Bahamas","BHS","372"
"Bahrain","BHR","298"
"Bangladesh","BGD","140"
"Barbados","BRB","406"
"Belarus","BLR","208"
"Belize","BLZ","235"
"Benin","BEN","125"
"Bermuda","BMU","364"
"Bhutan","BTN","121"
"Bolivia","BOL","176"
"Bosnia and Herzegovina","BIH","159"
"Botswana","BWA","261"
"Brazil","BRA","182"
"Brunei","BRN","166"
"Burkina Faso","BFA","229"
"Burundi","BDI","234"
"Cambodia","KHM","170"
"Cameroon","CMR","219"
"Canada","CAN","308"
"Cape Verde","CPV","181"
"Cayman Islands","CYM","328"
"Central African Rep.","CAF","163"
"Chad","TCD","200"
"Chile","CHL","242"
"China","CHN","217"
"Colombia","COL","197"
"Comoros","COM","194"
"Congo","COG","246"
"Congo, Dem. Rep.(RDC)","COD","267"
"Cook Islands","COK","297"
"Costa Rica","CRI","200"
"Cote d'Ivoire","CIV","224"
"Cuba","CUB","254"
"Djibouti","DJI","176"
"Dominica","DMA","325"
"Dominican Republic","DOM","245"
"Ecuador","ECU","230"
"Egypt","EGY","266"
"El Salvador","SLV","217"
"Equatorial Guinea","GNQ","241"
"Eritrea","ERI","227"
"Ethiopia","ETH","200"
"Fiji","FJI","237"
"Gabon","GAB","316"
"Gambia","GMB","195"
"Georgia","GEO","198"
"Ghana","GHA","376"
"Grenada","GRD","375"
"Guam","GUM","361"
"Guatemala","GTM","175"
"Guinea","GIN","247"
"Guinea Bissau","GNB","125"
"Guyana","GUY","222"
"Haiti","HTI","208"
"Honduras","HND","195"
"Hong Kong","HKG","354"
"Iceland","ISL","349"
"India","IND","229"
"Indonesia","IDN","251"
"Iran","IRN","211"
"Iraq","IRQ","260"
"Israel","ISR","361"
"Jamaica","JAM","296"
"Japan","JPN","289"
"Jordan","JOR","289"
"Kazakhstan","KAZ","258"
"Kenya","KEN","281"
"Kiribati","KIR","117"
"Korea, Dem.Peo.Of","PRK","165"
"Korea, Republic of","KOR","402"
"Kuwait","KWT","341"
"Kyrgyzstan","KGZ","171"
"Laos,People's Dem.Rep.","LAO","165"
"Lebanon","LBN","260"
"Lesotho","LSO","103"
"Liberia","LBR","277"
